feature,win_signed_shap,loss_signed_shap,sign_disagreement,win_abs_shap,loss_abs_shap,mag_diff_loss_minus_win
return_1d,0.0003,-0.0002,0.0005,0.001,0.0009,-0.0001
return_3d,-0.0012,0.0024,0.0037,0.0012,0.0035,0.0023
return_5d,-0.0022,-0.0041,0.002,0.0099,0.0144,0.0045
ma_5,0.0023,0.0011,0.0012,0.0064,0.0019,-0.0044
ma_10,-0.0034,-0.0003,0.0031,0.0046,0.0018,-0.0027
ma_20,0.0006,-0.0003,0.001,0.0037,0.0049,0.0012
volatility_5d,-0.0001,-0.0,0.0001,0.0031,0.0032,0.0001
volatility_10d,0.0017,0.0018,0.0,0.004,0.0026,-0.0014
rsi_14,-0.0002,-0.0,0.0002,0.0014,0.0008,-0.0006
macd,0.001,-0.0011,0.0021,0.0019,0.0022,0.0003
bb_upper,-0.0011,0.0037,0.0048,0.0033,0.0039,0.0006
bb_lower,0.0009,0.0012,0.0002,0.0027,0.0028,0.0001
bb_width,0.0053,0.0023,0.003,0.0053,0.0045,-0.0008
volume_zscore,0.0007,0.0003,0.0004,0.0015,0.0012,-0.0003
volume_spike,-0.0016,0.0005,0.0021,0.002,0.0005,-0.0016
vwap,0.0018,0.002,0.0002,0.0054,0.0068,0.0013
obv,-0.0075,-0.0006,0.007,0.0083,0.0071,-0.0012
atr,0.0023,0.0013,0.001,0.0026,0.0023,-0.0003
spy_ret,0.0004,-0.0,0.0004,0.001,0.0002,-0.0008
xlk_ret,-0.001,0.0009,0.0019,0.0014,0.0015,0.0001
sentiment_score,0.0,0.0,0.0,0.0,0.0,0.0
insider_net_shares,0.0,0.0,0.0,0.0,0.0,0.0
insider_7d,0.0,0.0,0.0,0.0,0.0,0.0
insider_21d,0.0,0.0,0.0,0.0,0.0,0.0
congress_net_shares,0.0,0.0,0.0,0.0,0.0,0.0
risk_today,0.0,0.0,0.0,0.0,0.0,0.0
risk_next_1d,0.0,0.0,0.0,0.0,0.0,0.0
risk_next_3d,0.0,0.0,0.0,0.0,0.0,0.0
risk_prev_1d,0.0,0.0,0.0,0.0,0.0,0.0
is_pandemic,0.0,0.0,0.0,0.0,0.0,0.0
eps_surprise,0.0003,0.0004,0.0001,0.0012,0.001,-0.0002
rev_surprise,0.0,0.0,0.0,0.0,0.0,0.0
days_to_earnings,0.0,0.0,0.0,0.0,0.0,0.0
post_earnings_1d,0.0,0.0,0.0,0.0,0.0,0.0
post_earnings_3d,0.0,0.0,0.0,0.0,0.0,0.0
post_earnings_5d,0.0,0.0,0.0,0.0,0.0,0.0
vwap_dev_eod,-0.0098,0.0007,0.0106,0.0203,0.0128,-0.0075
vol_surge_eod,-0.0013,-0.0,0.0013,0.0026,0.0013,-0.0013
intraday_momentum,0.0007,-0.0034,0.0041,0.0039,0.0064,0.0025
premarket_gap,-0.0001,0.001,0.0011,0.0007,0.0013,0.0006
iv_skew_snap,-0.0009,0.0,0.0009,0.002,0.0,-0.002
pc_ratio_snap,-0.0001,0.0001,0.0002,0.0007,0.0006,-0.0001
analyst_upside,0.0,-0.0007,0.0007,0.0,0.0011,0.0011
analyst_buy_pct,-0.0001,0.0007,0.0008,0.0008,0.0008,0.0
analyst_mult,-0.0002,0.0014,0.0016,0.0007,0.0025,0.0018
finbert_sentiment,-0.0001,0.0003,0.0005,0.001,0.0007,-0.0003
oil_ret,0.0018,0.0016,0.0002,0.0023,0.0021,-0.0002
oil_spy_corr,0.0026,0.0003,0.0023,0.0038,0.001,-0.0027
return_20d,0.0,0.0002,0.0001,0.0015,0.0007,-0.0007
return_60d,-0.001,0.0025,0.0035,0.0035,0.0028,-0.0007
ma_50,-0.0027,0.0005,0.0032,0.0104,0.0077,-0.0028
ma5_above_ma20,-0.0004,-0.0001,0.0003,0.0006,0.0003,-0.0002
ma20_above_ma50,0.0003,-0.0001,0.0004,0.0004,0.0019,0.0015
high_52w_ratio,-0.0034,0.0007,0.0041,0.0052,0.0045,-0.0007
low_52w_ratio,0.01,0.0013,0.0087,0.0125,0.003,-0.0095
bb_pct,-0.0008,0.0009,0.0016,0.0015,0.002,0.0005
rsi_above_70,0.0005,0.0005,0.0,0.002,0.0007,-0.0014
rsi_below_30,0.0,0.0,0.0,0.0,0.0,0.0
obv_trend,0.0024,0.0082,0.0058,0.0054,0.0085,0.0032
vix_close,0.0001,0.0007,0.0006,0.0012,0.001,-0.0002
vix_ret,-0.0004,0.0001,0.0005,0.0006,0.0008,0.0002
dxy_ret,0.0002,0.0008,0.0007,0.0002,0.0014,0.0013
yield_10y,-0.0004,0.0004,0.0008,0.001,0.0006,-0.0004
fear_greed,0.0,0.0,0.0,0.0,0.0,0.0
vix_term_structure,-0.0014,-0.0002,0.0012,0.0014,0.002,0.0006
beta_60d,0.005,0.0039,0.0011,0.0057,0.0072,0.0014
short_ratio,-0.0006,-0.0003,0.0003,0.0018,0.0003,-0.0015
short_pct_float,0.0,-0.0005,0.0005,0.0,0.0006,0.0006
monday_sentiment,0.0003,0.0001,0.0001,0.0003,0.0014,0.0012
sector_rel_ret,0.0003,0.0008,0.0005,0.0007,0.0013,0.0006
day_of_week,-0.0001,0.0004,0.0005,0.0004,0.001,0.0006
is_month_end,-0.0002,0.001,0.0013,0.0004,0.0014,0.001
vix_5d_above_25,0.0,0.0,0.0,0.0,0.0,0.0
semi_etf_momentum_60d,-0.0005,0.0003,0.0007,0.001,0.001,-0.0
igv_vs_sp500_ret_30d,-0.0003,-0.0003,0.0001,0.0013,0.0009,-0.0004
lqd_hyg_spread,0.0006,0.0006,0.0,0.0023,0.0009,-0.0013
