ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
AAPL,5,24,0.5536,0.1053,0.5359,0.2631,0.5516,798,0.5589
ABNB,5,13,0.5091,0.0956,0.5047,0.279,0.5086,466,0.5507
ABT,5,24,0.4993,0.1202,0.5394,0.2684,0.576,539,0.5284
ADSK,5,24,0.539,0.1248,0.5475,0.2643,0.6215,652,0.5271
AI,5,24,0.5112,0.1101,0.5287,0.2838,0.5222,302,0.4418
ALK,5,24,0.4722,0.1459,0.5745,0.2913,0.5928,553,0.5198
AMD,5,24,0.5013,0.1133,0.5296,0.2896,0.5543,554,0.5331
AMPX,5,6,0.4709,0.064,0.507,0.2961,0.5006,101,0.5582
AMZN,5,24,0.5086,0.1287,0.5301,0.2737,0.4771,476,0.541
APLD,5,8,0.5218,0.0896,0.5835,0.2633,0.7148,106,0.5436
ARM,5,2,0.4841,0.2133,0.5646,0.2865,0.5206,54,0.5
ASAN,5,13,0.4921,0.091,0.5292,0.2803,0.6589,104,0.4738
ASTS,5,11,0.4444,0.0945,0.4927,0.2897,0.4696,53,0.5166
AXP,5,24,0.5099,0.109,0.5487,0.3031,0.6362,849,0.5681
AZN,5,24,0.5344,0.0918,0.5268,0.2622,0.5284,809,0.5436
BA,5,24,0.5126,0.0949,0.5348,0.2816,0.6196,444,0.504
BETR,5,2,0.4842,0.0112,0.4843,0.3016,0.5458,26,0.4841
BRKR,5,24,0.5245,0.0881,0.5173,0.2769,0.546,599,0.5278
BSX,5,24,0.5093,0.1192,0.5543,0.2925,0.6946,689,0.5529
CAVA,5,3,0.5079,0.1531,0.5243,0.2687,0.5075,93,0.5185
CI,5,24,0.4908,0.087,0.5302,0.2731,0.6453,500,0.5291
CNC,5,24,0.4861,0.1014,0.5465,0.2825,0.5549,668,0.5079
COST,5,24,0.5225,0.1265,0.5037,0.2828,0.5994,1015,0.582
CRM,5,24,0.5212,0.1231,0.5522,0.2873,0.5833,718,0.5331
CRWD,5,19,0.4887,0.0841,0.5574,0.268,0.6096,602,0.5447
DDOG,5,18,0.4612,0.1037,0.5052,0.2861,0.5029,552,0.5062
DNA,5,10,0.5349,0.1048,0.4793,0.2731,0.311,73,0.4381
DUOL,5,10,0.4809,0.1281,0.4868,0.2888,0.4966,282,0.4635
ETSY,5,24,0.5298,0.0794,0.5498,0.2694,0.4933,528,0.5046
FIVN,5,24,0.5298,0.1202,0.5765,0.2668,0.5566,489,0.4993
FSLY,5,19,0.5088,0.1173,0.5247,0.2773,0.6274,387,0.477
FTNT,5,24,0.5456,0.1198,0.5065,0.274,0.6162,697,0.5681
GM,5,24,0.5099,0.1082,0.5374,0.2833,0.5983,195,0.5145
GME,5,24,0.537,0.0896,0.5727,0.2605,0.6943,186,0.4649
GOOG,5,24,0.5437,0.1125,0.5325,0.2693,0.6887,694,0.5747
HUM,5,24,0.4788,0.0779,0.5117,0.2678,0.5382,474,0.5152
HY,5,24,0.4775,0.1383,0.4981,0.2924,0.4748,458,0.4927
INSM,5,24,0.4927,0.1013,0.5292,0.2937,0.614,396,0.5079
INTC,5,24,0.5046,0.0968,0.5656,0.2829,0.5716,788,0.498
IREN,5,9,0.5644,0.1377,0.5249,0.2665,0.4923,228,0.5308
JNJ,5,24,0.4921,0.1185,0.5372,0.2718,0.5875,459,0.5159
KVUE,5,3,0.5185,0.1057,0.5248,0.2868,0.4555,111,0.4391
LLY,5,24,0.535,0.1062,0.4915,0.2715,0.5882,940,0.5648
LULU,5,24,0.5007,0.1295,0.5136,0.2649,0.5463,562,0.5159
LYFT,5,19,0.5121,0.0868,0.5267,0.2734,0.5498,220,0.4553
META,5,9,0.5379,0.1033,0.4691,0.2632,0.528,457,0.5714
MP,5,13,0.5067,0.1171,0.567,0.2718,0.5512,275,0.4896
MRNA,5,21,0.5004,0.1134,0.5482,0.2699,0.617,377,0.4974
MSFT,5,24,0.541,0.1153,0.522,0.2825,0.5768,979,0.5714
MU,5,24,0.4993,0.0871,0.5365,0.2756,0.5554,305,0.5271
NET,5,18,0.485,0.0937,0.5171,0.2685,0.5502,536,0.5308
NFLX,5,24,0.4683,0.1234,0.5256,0.2884,0.5293,832,0.539
NIO,5,22,0.5361,0.0938,0.5056,0.2578,0.4511,132,0.4546
NOK,5,24,0.5291,0.1092,0.5883,0.2827,0.64,538,0.5324
NVDA,5,24,0.5443,0.1433,0.54,0.2882,0.6084,896,0.5873
NVMI,5,24,0.5436,0.1029,0.5696,0.2667,0.579,707,0.5648
NVO,5,24,0.5033,0.0958,0.518,0.2823,0.604,662,0.5384
ONTO,5,17,0.5033,0.0853,0.5399,0.2696,0.5486,505,0.5369
OPEN,5,13,0.5507,0.1029,0.5665,0.2871,0.5232,192,0.4444
ORIC,5,15,0.509,0.1102,0.5448,0.2717,0.6492,167,0.4963
PFE,5,24,0.506,0.0955,0.5078,0.2793,0.5339,544,0.4901
PL,5,9,0.5132,0.1375,0.5275,0.344,0.7016,138,0.5608
PLTR,5,13,0.5262,0.1194,0.4813,0.2854,0.5377,427,0.5775
PUBM,5,13,0.4457,0.1108,0.5273,0.3066,0.4983,269,0.5031
PYPL,5,24,0.5232,0.1292,0.5379,0.2714,0.5842,886,0.5119
QS,5,13,0.5226,0.1054,0.5923,0.2917,0.5797,199,0.4786
QUBT,5,10,0.5413,0.1093,0.4935,0.2656,1.0,8,0.4603
QURE,5,24,0.5232,0.1162,0.5157,0.2655,0.54,260,0.4689
ROKU,5,24,0.4894,0.1217,0.4788,0.2731,0.4783,312,0.5
ROST,5,24,0.504,0.104,0.5625,0.2701,0.5822,686,0.5318
S,5,19,0.4954,0.1032,0.5483,0.2714,0.5936,265,0.5054
SHOP,5,24,0.5093,0.0938,0.5458,0.2662,0.5703,653,0.5172
SLV,5,24,0.5324,0.1307,0.5292,0.2612,0.6444,461,0.5622
SMCI,5,19,0.5255,0.0864,0.5577,0.2704,0.5433,586,0.5313
SMMT,5,24,0.5364,0.0864,0.5693,0.2607,0.6448,301,0.4676
SNOW,5,14,0.4637,0.0793,0.5115,0.2886,0.4878,276,0.5034
TEAM,5,24,0.4841,0.11,0.5454,0.2734,0.5483,640,0.5132
TGT,5,24,0.4696,0.1238,0.4969,0.2701,0.4826,527,0.5132
TJX,5,24,0.5351,0.096,0.5508,0.2736,0.5859,798,0.5523
TPR,5,24,0.5053,0.1383,0.5365,0.3007,0.707,501,0.541
TSLA,5,24,0.5205,0.1196,0.5571,0.2706,0.5601,569,0.5185
TSM,5,24,0.5668,0.1227,0.5355,0.2704,0.5848,810,0.5489
UAL,5,24,0.5258,0.1116,0.5576,0.2917,0.6127,498,0.5192
UNH,5,24,0.5265,0.0943,0.5273,0.2604,0.5775,678,0.5304
V,5,24,0.5311,0.1113,0.5196,0.2698,0.5952,894,0.5628
VKTX,5,24,0.5225,0.1412,0.5283,0.2946,0.5997,314,0.4762
VZ,5,24,0.5086,0.0791,0.5398,0.2791,0.4965,465,0.4782
WMT,5,24,0.5522,0.0759,0.5908,0.2556,0.6716,730,0.5562
ZM,5,19,0.4946,0.099,0.5005,0.2709,0.4784,295,0.462
SPY,5,24,0.5668,0.1313,0.5222,0.2611,0.619,1040,0.6038
QQQ,5,24,0.5516,0.1181,0.5737,0.2539,0.6578,836,0.5939
GLD,5,24,0.5635,0.1229,0.5105,0.257,0.6058,837,0.5787
XLF,5,24,0.5179,0.1128,0.5828,0.298,0.6073,724,0.5668
XLE,5,24,0.5086,0.1036,0.4888,0.2621,0.5234,582,0.5549
XLV,5,24,0.5728,0.1009,0.5623,0.2552,0.624,660,0.5403
XLI,5,24,0.5258,0.106,0.5316,0.2848,0.6063,913,0.5754
XLU,5,24,0.547,0.0711,0.5681,0.273,0.5867,810,0.541
COIN,5,11,0.557,0.0729,0.5749,0.2839,0.572,141,0.5108
AVGO,5,24,0.5212,0.1078,0.5421,0.2749,0.6209,819,0.5708
ANET,5,24,0.535,0.0902,0.5166,0.2809,0.5476,890,0.5675
AMAT,5,24,0.5331,0.1043,0.5575,0.2758,0.6035,781,0.5595
LRCX,5,24,0.5073,0.0981,0.5376,0.2916,0.6229,752,0.5727
VRT,5,16,0.5268,0.0864,0.5439,0.2767,0.6346,434,0.5863
ETN,5,24,0.5364,0.1368,0.5163,0.2676,0.5758,974,0.5847
NOW,5,24,0.5192,0.1272,0.5423,0.2799,0.5638,932,0.5364
EQIX,5,24,0.502,0.097,0.526,0.2706,0.5185,587,0.5311
DLR,5,24,0.498,0.0993,0.5804,0.2777,0.55,454,0.5159
WDC,5,24,0.5093,0.1285,0.5166,0.3024,0.5719,589,0.5628
STX,5,24,0.5119,0.1374,0.5428,0.2926,0.5942,638,0.5721
ASML,5,24,0.5265,0.1413,0.527,0.2698,0.602,805,0.5668
CEG,5,8,0.5337,0.0813,0.5252,0.2836,0.6082,181,0.5397
VST,5,24,0.5509,0.1118,0.5363,0.2756,0.5616,949,0.5635
LIN,5,21,0.551,0.149,0.5601,0.2715,0.6386,783,0.5661
MRVL,5,24,0.5073,0.0963,0.5636,0.2722,0.6038,686,0.5317
CLS,5,24,0.5344,0.1237,0.5442,0.2659,0.5522,826,0.5615
SYM,5,7,0.5261,0.095,0.5675,0.3097,0.513,104,0.5261
MNDY,5,11,0.5079,0.0981,0.5403,0.2634,0.5313,269,0.4791
FVRR,5,19,0.4937,0.1117,0.5279,0.2718,0.4131,351,0.4419
APD,5,24,0.5252,0.0935,0.5169,0.268,0.5325,808,0.5351
EME,5,24,0.5655,0.1387,0.5457,0.2883,0.6743,930,0.5866
